年月日,降水量の合計(mm),最低気温(℃),最高気温(℃),平均気温(℃)
2010/10/29,0.5,19.3,21.6,20.5
2010/10/30,0,19.8,23.8,21.1
2010/10/31,0.5,19,23.6,20.8
2010/11/1,0,17.1,22.2,19.3
2010/11/2,0,16.8,22,18.8
2010/11/3,0,15.3,20,17.3
2010/11/4,0,14.7,20.5,17.4
2010/11/5,0,15.8,20.1,17.6
2010/11/6,39.5,16.1,22.1,19
2010/11/7,1,18.2,22.1,19.7
2010/11/8,0,16.9,23.2,19.7
2010/11/9,0,16,19.3,17.3
2010/11/10,0,12.7,20.4,16.5
2010/11/11,0,11.2,21.6,16.2
2010/11/12,0,12.6,22.2,17.5
2010/11/13,7.5,16.6,23.1,19.4
2010/11/14,11,17.3,23,20
2010/11/15,0,15.8,21.5,18.7
2010/11/16,0,13.8,19,16.1
2010/11/17,0,13.2,18.7,15.6
2010/11/18,0,13,19.5,16
2010/11/19,11,14.8,20.1,16.7
2010/11/20,12.5,14.9,20.2,17.9
2010/11/21,0,14.4,23.3,18.9
2010/11/22,46.5,17.1,20,18.3
2010/11/23,0,15.1,20.8,18
2010/11/24,0,15.2,20.2,18.4
2010/11/25,1,13.3,18.4,16.3
2010/11/26,0,12.6,16.9,14.7
2010/11/27,0,10.1,18.4,14.2
2010/11/28,0,11.3,18.6,15.3
2010/11/29,0,12.4,19.7,14.9
2010/11/30,29,12.8,17.9,15.7
2010/12/1,3.5,14.8,19.2,17.3
2010/12/2,60,17.3,23.2,19.6
2010/12/3,0,13.1,20,16.6
2010/12/4,0,10.5,17.1,13.9
2010/12/5,0,9.8,19.3,14.6
2010/12/6,0,12.4,20.5,16.6
2010/12/7,9.5,10.7,16.4,12.8
2010/12/8,12.5,10.1,13.8,12
2010/12/9,2,10.2,14.8,12.3
2010/12/10,0,8.9,15,11.3
2010/12/11,3,10.3,21.1,14.8
2010/12/12,12,13,18.7,15.7
2010/12/13,58.5,17,21.6,19.8
2010/12/14,1,14.1,20.7,17.4
2010/12/15,0,8.5,14.4,11.2
2010/12/16,11,7.8,10.1,8.8
2010/12/17,0.5,6.8,13,9.3
2010/12/18,0,8.8,16.7,12.8
2010/12/19,0,8.4,16.9,12.5
2010/12/20,0,9.7,20.9,15.2
2010/12/21,15,15,21,17.3
2010/12/22,0,13.8,18.5,15.6
2010/12/23,0,12.4,17.2,14.3
2010/12/24,0,9.1,15.2,12.2
2010/12/25,3.5,6.8,9.8,8.5
2010/12/26,26,6.7,10.7,8.4
2010/12/27,0,9.8,13,11.5
2010/12/28,1,7.1,19.3,12.8
2010/12/29,0,8.5,15.9,11.8
2010/12/30,6,6.5,17.4,10.8
2010/12/31,43.5,2.4,7.7,4.6
2011/1/1,28,2,9.4,6.6
2011/1/2,0,6.9,13.4,9.5
2011/1/3,57.5,6.8,10.1,8.4
2011/1/4,6.5,7.5,11.7,9.6
2011/1/5,0,7.2,13.7,11.2
2011/1/6,36,7.4,11.7,8.8
2011/1/7,0,6.3,9.8,8.3
2011/1/8,0,7.4,11.9,9.1
2011/1/9,15,6.2,11.7,9.3
2011/1/10,0,7,9,8.1
2011/1/11,45,6,9.1,7.4
2011/1/12,44.5,5.9,9.3,7.8
2011/1/13,0,7.8,11.3,8.8
2011/1/14,0,7.2,12.2,9.7
2011/1/15,17,2.8,11.2,7.2
2011/1/16,5,2.5,7,4.8
2011/1/17,0.5,6.3,9,7.2
2011/1/18,4.5,6.4,12,8.3
2011/1/19,0.5,7.6,10.3,8.9
2011/1/20,0,8.2,10.2,9.3
2011/1/21,7.5,6.2,9.7,8
2011/1/22,0,8.2,13,9.9
2011/1/23,0.5,6.3,13.9,10.4
2011/1/24,3,6.5,11.8,9.6
2011/1/25,0,7.6,10.2,8.7
2011/1/26,0,6.4,12,8.9
2011/1/27,0,5.7,11.6,8.3
2011/1/28,2.5,7.3,12.7,9.6
2011/1/29,1.5,5.8,9.3,7.8
2011/1/30,3.5,3.7,7.7,6.1
2011/1/31,6,2.1,8.4,6
2011/2/1,0,6.7,13.3,9.3
2011/2/2,3,7.3,11.5,9.3
2011/2/3,0,7,12.8,9.9
2011/2/4,10.5,6.9,15.6,11.9
2011/2/5,38,9.3,17.6,13.8
2011/2/6,0,7.9,17.4,12.4
2011/2/7,0,8.9,17.8,13.7
2011/2/8,1.5,7.7,18.3,13.5
2011/2/9,0,11.5,17.2,14.7
2011/2/10,15,10.7,14.4,12.7
2011/2/11,11.5,8.7,12.2,10.7
2011/2/12,0.5,6,10.5,7.5
2011/2/13,0.5,5.8,10.6,8.1
2011/2/14,23.5,7.2,11.2,9.5
2011/2/15,0,7.4,13.7,10.4
2011/2/16,22.5,9.9,14.8,12.9
2011/2/17,25.5,11.9,22.3,15.3
2011/2/18,0.5,10.6,14.6,12.7
2011/2/19,14.5,12.1,14.7,13.3
2011/2/20,21.5,10.5,14.6,12.1
2011/2/21,73.5,10.5,14.4,13.1
2011/2/22,0,11.7,18.7,15.1
2011/2/23,83.5,13.3,16.3,14.2
2011/2/24,16,13.4,17.5,15.4
2011/2/25,0,13.4,21.7,17.4
2011/2/26,0.5,13.3,18,16.5
2011/2/27,91,15.4,19.3,17.6
2011/2/28,27,16.8,22.6,18.6
2011/3/1,0,11.7,20.1,15.2
2011/3/2,0,9.2,14,11.2
2011/3/3,1.5,7.2,10.8,9.5
2011/3/4,0,6.8,11.4,8.5
2011/3/5,0,4.4,13.5,9.8
2011/3/6,9.5,8,20.3,15.1
2011/3/7,13.5,10,15.2,12.7
2011/3/8,0,9.8,13.7,10.9
2011/3/9,0,9.8,15.3,11.8
2011/3/10,0,8.9,14.2,10.9
2011/3/11,0,8.7,16,11.4
2011/3/12,5,7.5,17.1,12.7
2011/3/13,17.5,11.1,17.9,15
2011/3/14,3,15.1,20.9,17.2
2011/3/15,2.5,10.9,18.4,14.9
2011/3/16,0,8.2,11.3,9.3
2011/3/17,2.5,7.4,12.7,9.8
2011/3/18,0,7.1,15.9,11.8
2011/3/19,0,12.3,17.1,14.8
2011/3/20,0,13.7,21.6,18.3
2011/3/21,39,15.2,20.6,17.4
2011/3/22,0,10.1,16.5,13.3
2011/3/23,0,8.8,15.4,11.1
2011/3/24,0,6.6,15.2,10.5
2011/3/25,0,6.9,14.3,11.2
2011/3/26,0,9,13.5,10.7
2011/3/27,0,9.1,14.3,11.1
2011/3/28,0,7.6,15.9,11.9
2011/3/29,0,7.4,17.3,13
2011/3/30,0,6.2,16.8,12
2011/3/31,0,8.6,18.4,13.4
2011/4/1,0,7.9,20.9,14.4
2011/4/2,0,10.5,21.7,16.1
2011/4/3,1.5,12.8,20.1,16.2
2011/4/4,3,12.2,15.4,14.3
2011/4/5,0,12.5,18.9,15.9
2011/4/6,0,11.5,21.1,17
2011/4/7,0,15.6,20.4,18
2011/4/8,0.5,17,21.7,18.7
2011/4/9,1.5,14.2,20.7,17.1
2011/4/10,0,13.7,20.9,17.1
2011/4/11,0,13.8,21.4,17.1
2011/4/12,0,9.4,18.5,14.2
2011/4/13,0,7.3,19,13.6
2011/4/14,0,9.7,19.7,14.7
2011/4/15,89,14.3,24.2,19
2011/4/16,49,15.7,23.1,19.4
2011/4/17,0,14.8,19.6,16.8
2011/4/18,0,13.9,20,16.6
2011/4/19,2.5,11.2,15.1,13.2
2011/4/20,0,11.1,18.9,14.5
2011/4/21,0,9.7,21.5,16.2
2011/4/22,3,16.5,20.7,18.3
2011/4/23,21,13.3,18.9,16.2
2011/4/24,0,10.4,20.9,16.2
2011/4/25,0,11.7,21.5,16.9
2011/4/26,0,12.7,27.1,21
2011/4/27,18,15.3,24.3,18.8
2011/4/28,0,13.5,19.9,16.4
2011/4/29,0,11.3,20.7,17
2011/4/30,1.5,18.2,23.2,20.4
2011/5/1,89.5,17.7,25.2,21.5
2011/5/2,0,15.8,22.1,18.4
2011/5/3,17,12.6,17.9,15
2011/5/4,7.5,14.9,18.9,16.6
2011/5/5,15,15.8,18.6,17.2
2011/5/6,80,17.4,19.5,18.8
2011/5/7,2.5,18.8,22.7,20.5
2011/5/8,0,19.6,26.9,22.6
2011/5/9,0,20.1,26.9,23.4
2011/5/10,2.5,22.1,26.5,24.3
2011/5/11,7,22.1,28.5,24.4
2011/5/12,1.5,19.1,26.5,23.2
2011/5/13,0,19,21.1,19.8
2011/5/14,0,18.3,25.1,21
2011/5/15,0,13.8,23.8,19.5
2011/5/16,0,13.6,22,17.9
2011/5/17,0,14.4,23.2,19.1
2011/5/18,0,14.8,24.4,20.4
2011/5/19,6,19.3,25.3,21.6
2011/5/20,12.5,21.3,25.7,22.7
2011/5/21,2.5,20.5,24.7,22.1
2011/5/22,0,19.7,26.7,22.9
2011/5/23,34,20.4,25.3,22.4
2011/5/24,13.5,19.6,22.2,20.4
2011/5/25,65,19.6,21.3,20.1
2011/5/26,9.5,19.9,24.6,21.6
2011/5/27,10,18.9,25.1,21.8
2011/5/28,419,19.5,21.6,20.5
2011/5/29,92,19.1,23.9,21
2011/5/30,0,18.5,25.4,21.6
2011/5/31,0,16.1,25.3,20.7
2011/6/1,0,15.8,25.1,21
2011/6/2,13.5,18.3,21.9,19.8
2011/6/3,2,18.9,22.3,20.5
2011/6/4,6,17.7,24,20.8
2011/6/5,68,20.6,23.6,22
2011/6/6,16.5,19.4,22.6,20.9
2011/6/7,228,20.4,24.5,22.1
2011/6/8,60.5,20.6,23.7,21.5
2011/6/9,0,20.4,26.7,23.3
2011/6/10,4,20.9,28.2,24.6
2011/6/11,3,26.6,29.7,27.9
2011/6/12,20.5,25.6,29.5,28
2011/6/13,22.5,19.2,23.8,22.3
2011/6/14,24,19.3,23.4,20.5
2011/6/15,54.5,18.8,22.7,21.1
2011/6/16,46.5,22.5,28.5,24.1
2011/6/17,27,23,27.3,24.8
2011/6/18,1.5,22.6,27.7,24.7
2011/6/19,0.5,22.6,31.1,26.3
2011/6/20,40,22.9,29.9,25.1
2011/6/21,32.5,23.1,28,25.1
2011/6/22,0,23.1,29.7,26.6
2011/6/23,0,23.1,31.1,27.3
2011/6/24,0,26.1,31,28.4
2011/6/25,3,24.1,27.2,26.4
2011/6/26,1.5,25.7,28.4,26.9
2011/6/27,8.5,25.4,28.8,27.1
2011/6/28,0,24.9,30.6,27.3
2011/6/29,0,24.7,29.3,26.7
2011/6/30,0,24.1,30.1,26.8
2011/7/1,89.5,23.5,27.8,25.1
2011/7/2,0,22.5,30.7,26.5
2011/7/3,0,23.7,31,27.1
2011/7/4,0,24.1,31.8,27.4
2011/7/5,9.5,24.7,29.3,26.3
2011/7/6,0,23.8,29.7,26.5
2011/7/7,0,26.4,32.6,28.8
2011/7/8,0,27.1,30.9,28.3
2011/7/9,0,26.4,30.2,27.6
2011/7/10,0.5,25.8,30.1,27.4
2011/7/11,0,25.6,30.2,27.4
2011/7/12,4.5,24.9,29.8,27.3
2011/7/13,3.5,25.8,30.3,27.6
2011/7/14,1,25.2,30.2,27.5
2011/7/15,1,25,30,27.2
2011/7/16,0,24.7,31.1,27.9
2011/7/17,1.5,26,31.2,28.2
2011/7/18,16,25.3,27.9,26.7
2011/7/19,8,25,31.5,27.9
2011/7/20,0,25.8,31.4,29
2011/7/21,0,24.6,29.7,27
2011/7/22,0,22.1,29.4,25.9
2011/7/23,0,22.9,29.9,26.5
2011/7/24,2,24,30.2,26.9
2011/7/25,0,25.3,30.2,27.3
2011/7/26,206,22.8,26.5,24.7
2011/7/27,0,25.4,30.1,27.6
2011/7/28,0,24.6,30,26.9
2011/7/29,0,23.5,29.8,26.6
2011/7/30,0,22.4,30.3,26.7
2011/7/31,0,22.8,30.8,27.2
2011/8/1,0,24.3,30.8,27.2
2011/8/2,13.5,24.8,31.3,27.4
2011/8/3,2.5,25.5,30.5,27.8
2011/8/4,20.5,25.6,28.5,27.1
2011/8/5,9.5,25.2,30.5,27.6
2011/8/6,1,27,28.3,27.7
2011/8/7,4.5,26.2,29.7,27.4
2011/8/8,3.5,25.4,31.2,27.3
2011/8/9,1.5,24.4,29.9,26.9
2011/8/10,0,23.2,29.9,26.3
2011/8/11,0,22.5,30.7,26.8
2011/8/12,0,22,30.3,26.4
2011/8/13,0.5,23.1,31.1,27.2
2011/8/14,12,23.5,29.9,25.5
2011/8/15,6,23.9,32.1,27.4
2011/8/16,0,24.4,31.9,27.9
2011/8/17,0,24.3,31.9,28
2011/8/18,0,24.2,32.5,27.9
2011/8/19,0,24.6,31.4,27.8
2011/8/20,0,24.6,31.7,27.8
2011/8/21,0,24.2,31.3,27.5
2011/8/22,0,24,32,27.3
2011/8/23,0,23.9,31.4,27
2011/8/24,0,23.1,30.6,27.2
2011/8/25,30.5,24.8,30.9,26.8
2011/8/26,2,25.8,31.6,27.8
2011/8/27,1,25.4,30.5,27.7
2011/8/28,3,24.9,30.8,27.5
2011/8/29,0,24.7,31.3,27.4
2011/8/30,0,25.7,30.3,27.9
2011/8/31,2,26.2,30.2,28
2011/9/1,0,26.3,29.9,28.6
2011/9/2,4.5,25.6,29.7,28
2011/9/3,0,26.1,28.8,27.2
2011/9/4,0,25.8,29.7,27.1
2011/9/5,0,25.5,29.8,27.3
2011/9/6,0,20.2,28.8,25.4
2011/9/7,0,20.2,29.2,24.6
2011/9/8,0,21.2,30.2,26.2
2011/9/9,7.5,25.4,29.3,27.3
2011/9/10,10,24.9,30.4,27.3
2011/9/11,4,24.1,30.3,27.2
2011/9/12,1,24.8,30.3,27.6
2011/9/13,0,24.7,30.9,27.5
2011/9/14,2,25.2,30.7,27.4
2011/9/15,6.5,26.4,29.6,27.5
2011/9/16,21,25.3,30.7,27.1
2011/9/17,36.5,25.7,28.5,26.8
2011/9/18,5.5,26.1,30,27.9
2011/9/19,42.5,24.6,27.9,26.4
2011/9/20,38.5,24.9,28.1,26.2
2011/9/21,14.5,21.3,24.9,23
2011/9/22,0,20.7,25.1,22.7
2011/9/23,0,17.8,26.2,21.9
2011/9/24,0,17.4,26.6,23.1
2011/9/25,43.5,19.8,25.7,23.7
2011/9/26,65.5,18.3,22,20.3
2011/9/27,26,21.2,24.5,22.6
2011/9/28,2,22.4,28.7,25
2011/9/29,1.5,24.1,27.4,25.3
2011/9/30,3.5,22.3,29.2,24.9
2011/10/1,0,20.8,26.5,23.4
2011/10/2,0,18.6,26.6,22.8
2011/10/3,3,19.4,23.2,21.8
2011/10/4,92.5,18.7,23.2,20.7
2011/10/5,156.5,22.9,25.8,24.2
2011/10/6,0,21.1,26,23
2011/10/7,0,19.5,25.4,22.4
2011/10/8,0,19.3,25.7,21.7
2011/10/9,0,18.6,26.3,23
2011/10/10,0,21.3,25.3,23.4
2011/10/11,0.5,20.6,26.5,22.8
2011/10/12,0,21.5,26.7,23.6
2011/10/13,18,22.2,25.5,23.7
2011/10/14,76.5,22.5,25.7,24.1
2011/10/15,40,20.9,24,22.5
2011/10/16,0,18.3,24.8,21.6
2011/10/17,0,17.2,25,20.6
2011/10/18,0,18.8,23.8,21.2
2011/10/19,0,21.6,24.5,23.1
2011/10/20,22.5,22.3,25.3,23.5
2011/10/21,100,20.4,28.3,23.9
2011/10/22,0.5,20,26.4,22.4
2011/10/23,0,16.8,24.6,20.5
2011/10/24,0,16.2,25.3,20.5
2011/10/25,1.5,17.9,22.3,19.9
2011/10/26,0,16.9,21.6,19.6
2011/10/27,0,15.4,24.1,20.4
2011/10/28,119,18.7,22.2,20.4
2011/10/29,39.5,20.8,26,23.4
2011/10/30,115,21.5,24.8,22.6
2011/10/31,0,22,24.2,23.2
2011/11/1,0,20.6,25.7,23.2
2011/11/2,3,21.4,24.1,22.9
2011/11/3,1.5,20.9,26.7,23.7
2011/11/4,33.5,20.6,24,22.3
2011/11/5,98,21.4,26.2,22.9
2011/11/6,0,20.8,27.1,23.4
2011/11/7,0,18.5,24.2,21.8
2011/11/8,0,18.3,24.5,20.7
2011/11/9,43,18,21,19.4
2011/11/10,34,18.6,20.7,19.4
2011/11/11,32.5,19,21.3,20.2
2011/11/12,0,18.9,22.8,20.4
2011/11/13,0,17.5,22.7,19.8
2011/11/14,0,16.3,21.8,18.8
2011/11/15,0,13.2,21.9,16.8
2011/11/16,0,13,21.8,18.3
2011/11/17,0,16.3,22.3,20.8
2011/11/18,14,20.2,23.6,22.4
2011/11/19,244,19.9,24.3,22.4
2011/11/20,8,14.4,20.2,17
2011/11/21,0,11.4,16.6,13.7
2011/11/22,0,9.7,20,14.1
2011/11/23,0,11.7,20.8,17.6
2011/11/24,0.5,13.6,17.9,15.3
2011/11/25,0,12.2,17.2,14.1
2011/11/26,0,10.3,18.7,15.6
2011/11/27,0,14.7,21.8,19.1
2011/11/28,8.5,18,22.1,19.9
2011/11/29,1,18.5,22.2,20.8
2011/11/30,0.5,19.1,23.1,21.1
2011/12/1,71.5,18,21.2,19.6
2011/12/2,19,18,20.2,19.1
2011/12/3,0,15.3,19.6,17.8
2011/12/4,0,13,17.8,15.5
2011/12/5,0,13.5,18.2,15.3
2011/12/6,0,13,21.2,16.7
2011/12/7,2.5,12.8,21,16.8
2011/12/8,39,13.4,18.6,15.8
2011/12/9,0,10.9,15.3,12.3
2011/12/10,20.5,9.4,14.4,11.3
2011/12/11,15,9.6,13.2,11.3
2011/12/12,0,11.4,16.6,13.5
2011/12/13,0,11.3,17.5,14.6
2011/12/14,0,12.1,19,16
2011/12/15,2,12.4,18.9,15.1
2011/12/16,8.5,9.2,13.7,11.3
2011/12/17,1.5,7.8,11.1,9.6
2011/12/18,0,8.6,12.6,11.1
2011/12/19,2,9.7,13.8,11.1
2011/12/20,0,8.5,15.6,12.1
2011/12/21,10.5,12.2,16,13.6
2011/12/22,8,10.1,13.6,11.8
2011/12/23,0,8.7,11.6,9.8
2011/12/24,31,6.6,10.6,8.4
2011/12/25,3,7.2,10.7,9.3
2011/12/26,0,9,11.1,9.9
2011/12/27,0,7,12.8,9.6
2011/12/28,0.5,9.7,15.8,12.9
2011/12/29,0.5,10.7,13.6,12.1
2011/12/30,0,10.2,14.9,12.5
2011/12/31,0.5,9.2,15.4,11.9
2012/1/1,18.5,10.1,13.5,11.3
2012/1/2,0,8.8,12.5,10.3
2012/1/3,65.5,7.9,12.5,9.8
2012/1/4,32,6.3,10.7,8.7
2012/1/5,0,7.9,9.8,9
2012/1/6,0,8.7,12.4,10.5
2012/1/7,0,6.5,13.3,10
2012/1/8,0,6,14.8,11.2
2012/1/9,0,12.1,14.6,13
2012/1/10,0,10.6,13.2,12
2012/1/11,0.5,9.2,12.7,11.2
2012/1/12,0,8,11.5,9.7
2012/1/13,0,10.3,12.6,11.5
2012/1/14,1.5,10.8,12.9,11.4
2012/1/15,33,8.7,13.4,11
2012/1/16,70.5,11.8,13.6,12.7
2012/1/17,1,7.1,13.9,10.9
2012/1/18,0,7.2,17.4,12.9
2012/1/19,54,13.8,17,15.3
2012/1/20,0,12.8,17.8,14.8
2012/1/21,23.5,10.6,17.1,13.6
2012/1/22,4,9.9,15.9,12.6
2012/1/23,0,7.8,11.4,9.2
2012/1/24,2,5.4,10.4,7.5
2012/1/25,6.5,5.6,9.2,7.1
2012/1/26,0,5.5,9.8,6.9
2012/1/27,1.5,6.2,9.9,8.1
2012/1/28,22.5,7.7,12.1,10.4
2012/1/29,2,9.2,12.1,10.8
2012/1/30,3.5,9.1,13.9,10.7
2012/1/31,1.5,5.8,11.4,9
2012/2/1,0.5,5.9,17.2,11.9
2012/2/2,0,5.2,10.1,7.1
2012/2/3,0.5,4.7,8,6.3
2012/2/4,1,6.5,12.7,9
2012/2/5,8,6.2,17.5,13.2
2012/2/6,113,15.3,19.9,17.8
2012/2/7,20.5,7.5,21,12.7
2012/2/8,1,5.4,8.2,6.6
2012/2/9,7.5,5.1,8.3,6.7
2012/2/10,1,6.4,11.1,8.4
2012/2/11,0,6.4,10.8,8.5
2012/2/12,0,6.2,15.1,11.3
2012/2/13,2.5,13.1,21.9,17.8
2012/2/14,9,16.4,23.8,18.5
2012/2/15,11,13,17.1,15.1
2012/2/16,0,9.5,13.8,11.6
2012/2/17,1.5,6.8,10.3,8.8
2012/2/18,1,5.2,8.3,7
2012/2/19,0,6.9,9,7.9
2012/2/20,0,5.7,12.3,8.5
2012/2/21,0,5.6,17.4,12.5
2012/2/22,23,11.4,19.2,15.6
2012/2/23,5.5,15.5,21.1,18.2
2012/2/24,7.5,14.2,16.1,15.1
2012/2/25,2.5,11.7,17.1,14.4
2012/2/26,0,10.2,12.7,11.3
2012/2/27,0,8.6,14.3,11.8
2012/2/28,72,10.2,15.9,13.5
2012/2/29,7,14.9,17.3,16.2
2012/3/1,26.5,15.6,21.6,17.3
2012/3/2,38.5,15.5,21.3,17.6
2012/3/3,3.5,13.9,17.5,15.6
2012/3/4,13,15.5,19.9,17.8
2012/3/5,53.5,18.8,24.1,20.9
2012/3/6,17.5,15.3,22.5,17.7
2012/3/7,32.5,9.4,15.8,12.1
2012/3/8,7,12.4,15.6,13.8
2012/3/9,20.5,12.5,15.9,13.5
2012/3/10,0,12.3,16.7,13.9
2012/3/11,0,8.9,16.3,12.5
2012/3/12,0,7.9,12.5,9.3
2012/3/13,0,8.2,14.3,10.2
2012/3/14,0,7.5,16.3,12
2012/3/15,0,8.5,18.3,13.4
2012/3/16,13,12.5,18.7,15.8
2012/3/17,4,17.3,23.3,19.6
2012/3/18,14,14.9,20.3,17.3
2012/3/19,0,13.6,18.8,15.5
2012/3/20,0,12.3,17.5,14.3
2012/3/21,0,9.8,18.4,13.9
2012/3/22,4.5,10.1,20.9,17
2012/3/23,111.5,14.4,22.4,19.4
2012/3/24,4.5,11.1,14.9,12.6
2012/3/25,0,10.7,14.7,12.4
2012/3/26,0,9.6,15.5,12.1
2012/3/27,0,8.4,17.7,12.4
2012/3/28,0,8.8,21,15.3
2012/3/29,0,9.7,21.7,16.7
2012/3/30,0,14.9,21.4,18.1
2012/3/31,23,10.9,19.9,15
2012/4/1,0,11.3,17.9,14.7
2012/4/2,0,9.2,20.7,16.5
2012/4/3,156,11.8,23.1,16.6
2012/4/4,0,8.7,17.5,13.2
2012/4/5,0,9.4,21.9,15
2012/4/6,0,12.1,17.7,15.2
2012/4/7,0,12.9,17.8,14.9
2012/4/8,0,10.7,19.8,15.3
2012/4/9,0,11.5,21.5,16.3
2012/4/10,0,12.6,22.5,18.3
2012/4/11,69,18.5,23.6,20.1
2012/4/12,0,13.6,21.5,17.5
2012/4/13,7.5,14.3,20.6,16.8
2012/4/14,0,13.6,20.1,16.5
2012/4/15,0,11.8,18.8,16
2012/4/16,11,16,19.6,17.3
2012/4/17,0,11.4,22.3,17.7
2012/4/18,0,10.3,23,18.2
2012/4/19,3,16.2,20.1,18.4
2012/4/20,1,17.1,23,19.6
2012/4/21,185.5,18.3,20.4,19.5
2012/4/22,47.5,16.4,22.2,19.8
2012/4/23,0,14,23.8,19
2012/4/24,0,11.8,24.1,19.3
2012/4/25,149.5,19.9,23.6,21.5
2012/4/26,0,15.8,23.1,18.6
2012/4/27,0,14.9,22.1,17.5
2012/4/28,0,14.2,24,19
2012/4/29,36.5,17.1,24.4,19.9
2012/4/30,42,18.5,23.1,20
2012/5/1,19.5,19,23.2,20.6
2012/5/2,0.5,19,27.1,22.3
2012/5/3,0,19.1,25.5,21.2
2012/5/4,0,17.9,23.6,20.2
2012/5/5,0,16.1,26.7,21.5
2012/5/6,0,14.5,27.2,20.6
2012/5/7,0,15.4,27.3,21.3
2012/5/8,0,17.2,25.6,21.2
2012/5/9,2,16.6,25.4,20
2012/5/10,0,16.8,26.4,22
2012/5/11,0,15.5,24,20.4
2012/5/12,0,16.7,23.4,19.8
2012/5/13,0,17.1,24.9,21.4
2012/5/14,33.5,16.8,23.6,19.7
2012/5/15,1,20.2,23.9,21.9
2012/5/16,0,18.8,23.9,20.7
2012/5/17,0,17.1,25.9,21
2012/5/18,0,14.7,24.5,20.1
2012/5/19,0,17,24.5,21.1
2012/5/20,53,14.3,21,17.2
2012/5/21,17,17.8,23.4,20
2012/5/22,1,17.8,23.8,21.1
2012/5/23,0,15.8,26.1,21.3
2012/5/24,0,17.7,26.8,22.1
2012/5/25,0.5,19.7,25.2,21.9
2012/5/26,26.5,18.2,20.3,19.1
2012/5/27,0,18.3,25.9,21.2
2012/5/28,0,17.5,25.7,22
2012/5/29,0,18.3,26.7,22
2012/5/30,1.5,19,25.3,21.8
2012/5/31,19,16.6,20.5,18.8
2012/6/1,0,18.9,25.6,21.7
2012/6/2,55.5,18.9,22.4,20.5
2012/6/3,7,19.7,23.2,20.9
2012/6/4,75,20,21.8,20.8
2012/6/5,99,19.7,22.3,20.9
2012/6/6,0,20.3,27.2,23.3
2012/6/7,4,18.6,27.3,22.8
2012/6/8,20.5,21.3,27.5,24.7
2012/6/9,0,23.1,30.2,26.1
2012/6/10,0,23.2,26.9,24.9
2012/6/11,21.5,21.9,25.4,23.9
2012/6/12,122,21.3,24,22.9
2012/6/13,4,21.6,26.9,23.7
2012/6/14,3,21.7,27.3,23.9
2012/6/15,118,22.2,25.9,24.1
2012/6/16,12.5,23.8,27.6,26.1
2012/6/17,13.5,22.3,25.3,24.1
2012/6/18,4,22.7,28.9,26.1
2012/6/19,36,23.6,27.4,25.4
2012/6/20,76.5,22.2,24.8,23.5
2012/6/21,69.5,23,29.2,25.5
2012/6/22,0,21.7,27.7,24.5
2012/6/23,104,20.3,23.8,22.3
2012/6/24,20,23,31,26.3
2012/6/25,44.5,22.3,29,24
2012/6/26,110,22.1,24.1,23.4
2012/6/27,164.5,22.8,25.9,24.2
2012/6/28,32,22.7,29.6,25
2012/6/29,0,22.8,29.2,25.6
2012/6/30,0,23.4,30.6,27
2012/7/1,1,23.9,31.4,27.4
2012/7/2,0,24.6,33.1,28.3
2012/7/3,0,23.5,32.6,27.8
2012/7/4,0,24,31.6,27.6
2012/7/5,0,23.4,31.8,27.5
2012/7/6,0,23.8,32.4,28.5
2012/7/7,80.5,23.2,31.5,26.8
2012/7/8,0,21.7,28.8,24.9
2012/7/9,0,19.4,28.4,24.3
2012/7/10,10,23.3,27.4,25.2
2012/7/11,132,23.8,28.3,25.9
2012/7/12,0,24.3,32.2,28.1
2012/7/13,0,24.3,31.9,27.6
2012/7/14,0,23.5,32.5,28.3
2012/7/15,0,26.3,31.5,28.5
2012/7/16,1,25.7,31,28.1
2012/7/17,3.5,26,30.9,27.8
2012/7/18,37,25.9,29.8,27.4
2012/7/19,24.5,25.4,29.4,27.1
2012/7/20,0,25.2,31.9,28.1
2012/7/21,7,25,31.2,27
2012/7/22,0,24.5,30.4,27.1
2012/7/23,0,24.4,30.8,27.4
2012/7/24,0.5,24.5,31.1,27.5
2012/7/25,0.5,24.5,31.4,27.8
2012/7/26,0.5,25,30.8,27.6
2012/7/27,0,25.3,31.9,28
2012/7/28,0,24.8,31.6,28.2
2012/7/29,0,24.5,31.8,28
2012/7/30,1,26,31.5,28.5
2012/7/31,0,25.7,31.6,28.8
2012/8/1,86,25.4,28.6,27.2
2012/8/2,37.5,25.9,30.6,27.8
2012/8/3,0,26.4,29.7,28.2
2012/8/4,4.5,25.3,29.4,27.4
2012/8/5,3,26.5,29.9,27.9
2012/8/6,1,26.3,30.7,28.2
2012/8/7,1.5,25.5,29.6,27.6
2012/8/8,10.5,24.8,30.8,27.5
2012/8/9,0,24.8,30.9,27.5
2012/8/10,0,25.5,31.7,27.5
2012/8/11,0,24.6,32,27.9
2012/8/12,0,25.4,31.6,28
2012/8/13,0,25,32,28.2
2012/8/14,0,24.6,31.4,28
2012/8/15,3,26.7,31.3,28.4
2012/8/16,2.5,26.3,31,28.2
2012/8/17,1,25.4,31.3,28.1
2012/8/18,7,25.2,31.2,27.5
2012/8/19,1,24.2,30.9,26.9
2012/8/20,10.5,23.6,29.6,26.5
2012/8/21,10.5,25,29.8,27.3
