年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2010/4/6,0,22.5,11.3,17.3
2010/4/7,0,17,6.2,11.6
2010/4/8,0,16.6,3.2,10.3
2010/4/9,9,13.5,8.9,11.5
2010/4/10,0,22.1,10.6,16.2
2010/4/11,3,22.9,15.1,17.4
2010/4/12,47.5,16.7,14.4,15.7
2010/4/13,0.5,17.7,9.5,13.6
2010/4/14,0,14.3,7.5,10.3
2010/4/15,1,10.7,5.9,8.5
2010/4/16,5,9.5,6.4,8.3
2010/4/17,0,17,3.8,10.4
2010/4/18,0,17.8,6.3,12.6
2010/4/19,10,19.1,12.1,14.7
2010/4/20,13,19.8,12.2,15
2010/4/21,0,23.6,14,18.1
2010/4/22,63,16.1,11.1,12.5
2010/4/23,0.5,14.2,8.4,11.7
2010/4/24,0,16.9,7.4,11.6
2010/4/25,0,18.6,6.2,12.4
2010/4/26,0,20.7,9.3,15.6
2010/4/27,13,18.6,12.4,15
2010/4/28,1.5,19,8.2,14
2010/4/29,3,16.3,10.4,13.4
2010/4/30,0,17.7,9.5,14.4
2010/5/1,0,19.6,9.3,14.5
2010/5/2,0,23,8.4,16.2
2010/5/3,0,26.9,14,20.2
2010/5/4,0,26.4,16.7,21.4
2010/5/5,0,25.4,15.7,20.3
2010/5/6,3.5,26.8,17.1,21.9
2010/5/7,2,23.8,13.6,19.1
2010/5/8,0,24.3,10.8,18.2
2010/5/9,0,26.9,15.6,20.3
2010/5/10,7.5,18.6,15,17
2010/5/11,0.5,19.5,14.7,16.9
2010/5/12,0,21.2,13.3,16.3
2010/5/13,0,21.8,9.3,15.6
2010/5/14,0,21.8,9.8,15.7
2010/5/15,0,22.6,11.4,16.7
2010/5/16,0,24.2,12.1,18.6
2010/5/17,0,26.2,14.4,20.3
2010/5/18,1,27.1,16.9,21
2010/5/19,16,25.2,17.9,20.4
2010/5/20,1.5,22.2,17,19.9
2010/5/21,0,25.4,14.8,20
2010/5/22,7.5,25.7,15.5,20.1
2010/5/23,85.5,24.4,16.5,19.3
2010/5/24,15.5,24,17,20.5
2010/5/25,0,24.5,16.8,20
2010/5/26,0,18.6,15.4,17.1
2010/5/27,0,20.1,13.3,16.5
2010/5/28,0,21.5,10.2,16.2
2010/5/29,0,26.3,14.5,19.6
2010/5/30,0,25.1,13.4,18.7
2010/5/31,0,23.1,13.9,18.6
2010/6/1,0.5,25.1,14.9,19.3
2010/6/2,0,26.6,14.6,20.1
2010/6/3,0,26.3,15.4,20.7
2010/6/4,0,25.7,16,20.9
2010/6/5,0,28.3,16.6,22
2010/6/6,0,27.9,17.2,22.5
2010/6/7,1,23,18.5,20.3
2010/6/8,0,25.6,17.6,20.2
2010/6/9,0,28.1,15.8,21.3
2010/6/10,0,27.5,16.8,22.6
2010/6/11,0,29.3,17.8,23.2
2010/6/12,0,29,17.7,23.8
2010/6/13,26,25,17.7,20.5
2010/6/14,0,28.2,19.1,23
2010/6/15,37,22.5,19.9,20.8
2010/6/16,0.5,27.7,19.9,23.1
2010/6/17,0,29.1,20,24.6
2010/6/18,38.5,25.2,20.9,22.5
2010/6/19,4,30.5,21.6,25.6
2010/6/20,3,26.6,22.5,24.2
2010/6/21,0,28.2,21.2,24.6
2010/6/22,4.5,30.2,22.3,25.8
2010/6/23,1.5,26.9,21.3,23.6
2010/6/24,0,29,19.2,24
2010/6/25,21.5,23.6,21.2,22.1
2010/6/26,35,26.4,21.8,24.4
2010/6/27,0,33.5,23.1,27.3
2010/6/28,2,33.3,23.4,26.8
2010/6/29,2.5,27.1,23.8,25
2010/6/30,0.5,28,23,24.9
2010/7/1,0,30.7,23,26.8
